datetime,open,high,low,close,volume,high_5_sma,high_5_mstd,vwma_5,boll,boll_ub,boll_lb,action
2022-12-09 04:00:00,17194.0,17227.1,17180.5,17203.7,23222.115,17209.68,148.50276765098718,17105.021075496174,16962.665,17275.219919974115,16650.110080025886,1
2022-12-09 08:00:00,17203.7,17260.6,17190.5,17231.9,34072.588,17272.06,28.45282059839139,17183.772637068392,16974.489999999998,17309.35824997621,16639.621750023787,1
2022-12-09 12:00:00,17231.8,17365.4,17060.0,17170.4,130055.394,17286.159999999996,51.07565956504679,17209.335081587153,16983.33,17329.46722925122,16637.192770748785,0
2022-12-09 16:00:00,17170.3,17178.5,17112.0,17134.9,28838.384,17264.059999999998,69.95615055164247,17200.18004724926,16991.344999999998,17343.993508321073,16638.696491678922,0
2022-12-09 20:00:00,17135.0,17149.0,17052.0,17122.0,31474.007,17236.120000000003,84.11882666801345,17184.913231676404,16998.7,17356.009531152835,16641.390468847167,0
2022-12-10 00:00:00,17122.0,17159.9,17106.5,17140.0,19761.717,17222.68,91.00668656754218,17179.11899109544,17007.495,17369.84245450948,16645.14754549052,0
2022-12-10 04:00:00,17140.0,17170.2,17122.0,17144.6,17751.416,17204.6,90.56856518683715,17169.249123435304,17010.795000000002,17377.050168312773,16644.53983168723,0
2022-12-10 08:00:00,17144.5,17165.0,17105.0,17159.9,20902.227,17164.52,11.069643174057031,17132.529533889952,17017.92,17390.210744332726,16645.62925566727,0
2022-12-10 12:00:00,17159.9,17228.6,17132.0,17200.3,36351.612,17174.54,31.220794352502313,17146.08719385987,17040.165,17399.34558952951,16680.984410470493,0
2022-12-10 16:00:00,17200.3,17220.0,17151.0,17166.3,20946.808,17188.74,32.806523741502694,17162.5135940136,17059.125,17401.709393751575,16716.540606248425,0
2022-12-10 20:00:00,17166.3,17175.6,17081.0,17120.0,26181.427,17191.879999999997,29.986196824571557,17158.962542852354,17073.670000000002,17399.421743381088,16747.918256618916,0
2022-12-11 00:00:00,17120.1,17163.4,17114.0,17147.7,16510.061,17190.52,31.338985305875287,17158.567136000474,17090.68,17392.56516882736,16788.79483117264,0
2022-12-11 04:00:00,17147.6,17189.0,17144.7,17173.4,18948.471,17195.32,28.12635774504188,17162.91758690887,17107.95,17385.065355041956,16830.834644958046,0
2022-12-11 08:00:00,17173.4,17175.6,17132.4,17160.8,16708.791,17184.719999999998,21.70188931871432,17152.99416563561,17124.71,17368.461391035227,16880.95860896477,0
